Gender,Age,Height (inches),Weight (lbs),How would you describe your weight?,,
Male,19,72,160,About the right weight,,
Male,18,76,165,About the right weight,,
Female,16,65,130,Slightly overweight,,
Female,18,63,120,About the right weight,,
Male,19,70,175,About the right weight,,
Female,19,69,195,Slightly overweight,,
Male,19,65,157,About the right weight,,
Female,19,66,160,Slightly overweight,,
Male,17,74,165,Slightly underweight,,
Male,19,72,320,Slightly overweight,,
Female,19,66,-1,Very overweight,,
Female,18,68,140,Slightly overweight,,
Female,19,60,104,About the right weight,,
Female,16,65,130,Slightly overweight,,
Male,16,69,150,About the right weight,,
Male,15,73,155,About the right weight,,
Male,19,71,175,About the right weight,,
Male,17,70,175,About the right weight,,
Male,18,66,135,About the right weight,,
Female,15,68,-2,Very overweight,,
Female,15,65,116,About the right weight,,
Female,17,66,145,Slightly overweight,,
Female,18,63,140,About the right weight,,
Male,18,63,142,About the right weight,,
Female,15,53,98,About the right weight,,
Male,18,66,265,Slightly overweight,,
Male,16,66,164,About the right weight,,
Female,15,63,160,About the right weight,,
Male,19,71,175,Slightly overweight,,
Female,15,62,118,About the right weight,,
Male,17,76,155,Slightly underweight,,
Female,18,65,150,Slightly overweight,,
Female,18,71,165,About the right weight,,
Male,16,74,180,About the right weight,,
Female,15,66,165,Slightly overweight,,
Male,19,64,160,About the right weight,,
Male,17,66,210,Slightly overweight,,
Female,18,64,145,Slightly overweight,,
Male,19,67,165,Slightly overweight,,
Female,17,67,160,Slightly underweight,,
Male,16,63,160,About the right weight,,
Female,16,62,143,Slightly overweight,,
Female,16,56,136,Very underweight,,
Female,15,62,125,Slightly overweight,,
Female,19,63,130,About the right weight,,
Male,16,68,150,,,
Female,18,65,140,Very overweight,,
Female,17,63,190,Very overweight,,
Male,17,73,175,About the right weight,,
Male,15,71,170,About the right weight,,
Male,16,70,176,About the right weight,,
Male,19,69,170,Very overweight,,
Male,17,67,160,Slightly overweight,,
Female,16,68,103,About the right weight,,
Female,17,60,110,About the right weight,,
Female,16,60,102,About the right weight,,
Female,18,62,125,Slightly overweight,,
Male,17,62,110,About the right weight,,
Female,17,65,126,About the right weight,,
Female,15,59,-2,Slightly overweight,,
Male,15,67,126,Slightly underweight,,
Female,18,61,130,About the right weight,,
Female,17,61,104,About the right weight,,
Female,18,66,104,Very underweight,,
Male,19,69,180,About the right weight,,
Female,16,60,150,Slightly overweight,,
Female,17,61,120,About the right weight,,
Female,15,62,101,Slightly underweight,,
Male,18,68,147,About the right weight,,
Male,17,71,155,About the right weight,,
Female,17,60,120,About the right weight,,
Female,17,62,120,About the right weight,,
Female,17,65,155,Slightly overweight,,
Female,19,65,135,About the right weight,,
Male,15,70,187,About the right weight,,
Male,16,71,235,About the right weight,,
Male,19,68,140,About the right weight,,
Female,17,60,100,About the right weight,,
Male,17,66,147,About the right weight,,
Female,19,65,170,Slightly overweight,,
Male,15,68,199,Slightly overweight,,
Female,17,71,135,About the right weight,,
Female,17,63,125,About the right weight,,
Male,17,73,280,Very overweight,,
Male,15,70,180,,,
Female,16,62,103,Slightly overweight,,
Female,16,68,127,About the right weight,,
Male,15,75,164,About the right weight,,
Male,15,65,120,Slightly underweight,,
Female,18,64,110,About the right weight,,
Female,19,67,125,About the right weight,,
Female,17,60,108,About the right weight,,
Male,17,69,260,Slightly overweight,,
Male,16,68,220,Slightly overweight,,
Male,17,72,230,Slightly overweight,,
Female,15,66,120,About the right weight,,
Male,15,73,161,About the right weight,,
Male,17,71,145,Slightly underweight,,
Female,15,62,100,About the right weight,,
Male,18,67,232,Very overweight,,
Female,15,66,115,About the right weight,,
Male,19,69,135,About the right weight,,
Male,19,67,160,About the right weight,,
Female,18,60,170,Slightly overweight,,
Male,17,66,142,About the right weight,,
Female,16,62,103,Slightly underweight,,
Male,16,68,120,Slightly underweight,,
Male,18,70,170,About the right weight,,
Female,16,59,110,About the right weight,,
Female,19,62,-2,Very overweight,,
Male,18,66,170,About the right weight,,
Male,16,64,140,About the right weight,,
Male,16,70,130,Slightly underweight,,
Female,19,64,160,Slightly overweight,,
Male,18,67,130,About the right weight,,
Male,17,69,175,About the right weight,,
Male,16,68,150,About the right weight,,
Male,17,68,160,Slightly overweight,,
Female,17,62,130,Slightly overweight,,
Female,17,66,135,Slightly overweight,,
Female,17,66,135,About the right weight,,
Female,16,64,120,Slightly overweight,,
Female,18,63,138,About the right weight,,
Female,19,63,100,Slightly underweight,,
Male,16,73,185,About the right weight,,
Male,17,74,220,About the right weight,,
Female,16,69,-1,Very overweight,,
Female,18,63,110,About the right weight,,
Female,17,65,135,About the right weight,,
Female,15,67,130,About the right weight,,
Male,16,72,165,About the right weight,,
Male,18,73,185,About the right weight,,
Male,18,70,170,About the right weight,,
Male,19,70,130,Slightly underweight,,
Male,15,76,210,About the right weight,,
Female,15,63,100,Slightly underweight,,
Male,17,71,165,About the right weight,,
Male,15,64,110,About the right weight,,
Male,18,67,160,Slightly overweight,,
Male,16,70,150,About the right weight,,
Male,15,69,130,Slightly underweight,,
Female,17,61,135,About the right weight,,
Female,18,59,104,About the right weight,,
Male,17,74,150,About the right weight,,
Female,15,67,115,About the right weight,,
Female,18,68,135,About the right weight,,
Male,15,71,170,About the right weight,,
Female,16,64,110,About the right weight,,
Male,17,68,130,About the right weight,,
Male,16,72,146,Slightly underweight,,
Male,17,67,145,About the right weight,,
Female,17,62,104,Very underweight,,
Male,19,65,115,About the right weight,,
Male,18,66,125,About the right weight,,
Male,19,66,170,Slightly overweight,,
Male,16,75,210,Slightly overweight,,
Female,18,64,104,About the right weight,,
Female,17,63,110,About the right weight,,
Male,17,67,140,About the right weight,,
Male,17,69,160,About the right weight,,
Male,15,70,140,About the right weight,,
Male,16,69,150,Slightly overweight,,
Female,19,66,130,Slightly overweight,,
Male,16,66,135,About the right weight,,
Male,17,72,220,Slightly overweight,,
Female,16,67,194,Slightly overweight,,
Female,18,69,130,About the right weight,,
Female,17,65,165,Slightly overweight,,
Female,16,65,120,About the right weight,,
Male,20,71,290,Very overweight,,
Female,17,66,140,Slightly overweight,,
Male,16,73,185,About the right weight,,
Male,16,69,145,About the right weight,,
Male,16,70,179,Slightly overweight,,
Female,17,63,125,About the right weight,,
Female,15,62,140,Slightly overweight,,
Female,18,64,181,Slightly overweight,,
Female,20,64,178,Very overweight,,
Female,18,59,95,Slightly underweight,,
Female,19,68,120,Slightly underweight,,
Female,17,68,118,About the right weight,,
Male,18,70,160,Slightly overweight,,
Female,18,63,124,About the right weight,,
Male,15,68,152,About the right weight,,
Male,15,67,170,Slightly overweight,,
Female,18,62,145,Slightly overweight,,
Female,16,60,160,Slightly underweight,,
Male,19,78,155,Slightly underweight,,
Female,17,64,120,About the right weight,,
Male,16,73,147,About the right weight,,
Female,17,68,170,Slightly overweight,,
Female,18,67,125,About the right weight,,
Male,15,67,133,About the right weight,,
Male,15,74,180,About the right weight,,
